Scheme,Category,State,Year,Budget_Crore,Beneficiaries_Lakhs,Growth_Percent,Utilization_Percent,Impact_Score,Citizen_Satisfaction,Infrastructure_Score,Digital_Access_Percent,Budget_Per_Beneficiary,Efficiency_Score
PM Kisan Samman Nidhi,Agriculture,Karnataka,2022,6584.27,386.79,18.99,91.93,355.58,90.74,56.54,64.99,17.02,326.88
PM Kisan Samman Nidhi,Agriculture,Karnataka,2023,6986.74,35.43,7.16,78.05,27.65,80.7,41.46,92.47,197.2,21.58
PM Kisan Samman Nidhi,Agriculture,Karnataka,2024,9368.86,440.53,28.98,50.33,221.72,82.46,37.14,23.51,21.27,111.59
PM Kisan Samman Nidhi,Agriculture,Karnataka,2025,8782.95,71.86,76.59,64.59,46.41,64.98,63.38,57.54,122.22,29.98
PM Kisan Samman Nidhi,Agriculture,Karnataka,2026,5313.19,159.5,41.95,74.15,118.27,87.63,74.71,65.19,33.31,87.7
PM Kisan Samman Nidhi,Agriculture,Maharashtra,2022,10397.99,16.15,75.36,82.31,13.29,65.19,67.7,83.72,643.84,10.94
PM Kisan Samman Nidhi,Agriculture,Maharashtra,2023,8394.17,418.42,41.85,70.97,296.95,69.58,89.31,71.64,20.06,210.75
PM Kisan Samman Nidhi,Agriculture,Maharashtra,2024,9105.98,50.48,38.82,63.09,31.85,59.42,68.79,90.71,180.39,20.09
PM Kisan Samman Nidhi,Agriculture,Maharashtra,2025,9091.04,199.95,65.09,50.82,101.61,74.0,88.21,49.08,45.47,51.64
PM Kisan Samman Nidhi,Agriculture,Maharashtra,2026,10043.45,498.8,31.51,75.05,374.35,87.8,34.18,43.02,20.14,280.95
PM Kisan Samman Nidhi,Agriculture,Tamil Nadu,2022,7834.27,384.45,59.83,77.21,296.83,96.88,40.76,62.91,20.38,229.18
PM Kisan Samman Nidhi,Agriculture,Tamil Nadu,2023,7194.75,236.04,-4.09,72.82,171.88,41.22,85.92,74.8,30.48,125.16
PM Kisan Samman Nidhi,Agriculture,Tamil Nadu,2024,10365.56,320.79,-4.97,80.88,259.45,69.6,79.49,26.63,32.31,209.84
PM Kisan Samman Nidhi,Agriculture,Tamil Nadu,2025,10050.77,399.91,28.97,77.33,309.25,76.84,32.04,45.8,25.13,239.14
PM Kisan Samman Nidhi,Agriculture,Tamil Nadu,2026,10371.58,26.19,45.54,70.7,18.52,41.38,74.53,33.11,396.01,13.09
PM Kisan Samman Nidhi,Agriculture,Kerala,2022,10412.39,41.48,73.27,57.2,23.73,78.79,82.09,85.98,251.02,13.57
